System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
BSQ,1,1,1,NA,1.1,carrion-detritus,detritus,detritus,NA,NA,nonfeeding,non-living,non-living,detritus,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0377902,NA,NA,field experience,estimate set = to SNEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,2,2,1,NA,2.1,marine-detritus,detritus,detritus,NA,NA,nonfeeding,non-living,non-living,detritus,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.06667,NA,NA,field experience,estimate 1/10 terrestrial detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,3,3,1,NA,3.1,terrestrial-detritus,detritus,detritus,NA,NA,nonfeeding,non-living,non-living,detritus,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080.6667,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,4,4,1,adult,4.1,Saltwort,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,7319.3333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Bataceae,Batis,maritima,NA
BSQ,6,6,1,adult,6.1,epipellic flora,microphytobenthos,taxon,assemblage,aggregated diverse assemblage of diatoms and cyanobacteria,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,771.63,NA,NA,extrapolation from other estuary,extrapolated from csm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,7,7,1,adult,7.1,Alkali Heath,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,595.33333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Frankeneaceae,Frankenia,salina,NA
BSQ,8,8,1,adult,8.1,Fleshy Jaumea,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,929.33333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Asteraceae,Jaumea,carnosa,NA
BSQ,10,10,1,adult,10.1,macroalgae,macroalgae,taxon,assemblage,"mostly the chlorophytes, Enteromorpha and Ulva",autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,794.15758,NA,NA,"approximation, quantified ratio",abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,11,11,1,adult,11.1,Shore Grass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Poaceae,Monanthocloe,littoralis,NA
BSQ,12,12,1,adult,12.1,phytoplankton,vascular plant,taxon,assemblage,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,3155.9376,NA,NA,extrapolation from other estuary,densities from epb,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
