System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
CSM,1,1,1,NA,1.1,carrion-detritus,detritus,detritus,NA,NA,nonfeeding,non-living,non-living,detritus,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0758358,NA,NA,field experience,estimate set = to SNEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSM,2,2,1,NA,2.1,marine-detritus,detritus,detritus,NA,NA,nonfeeding,non-living,non-living,detritus,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.53333,NA,NA,field experience,estimate 1/10 terrestrial detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSM,3,3,1,NA,3.1,terrestrial-detritus,detritus,detritus,NA,NA,nonfeeding,non-living,non-living,detritus,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,2395.3333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSM,5,5,1,adult,5.1,Salt Grass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.33333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Poaceae,Distichlis,spicata,NA
CSM,6,6,1,adult,6.1,epipellic flora,microphytobenthos,taxon,assemblage,aggregated diverse assemblage of diatoms and cyanobacteria,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.72,NA,NA,"quantification, limited sampling","diatom samples from 3 csm channel sites and 4 csm flat sites (J. Lorda, unpublished)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSM,7,7,1,adult,7.1,Alkali Heath,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Frankeneaceae,Frankenia,salina,NA
CSM,8,8,1,adult,8.1,Fleshy Jaumea,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,4488.6667,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Asteraceae,Jaumea,carnosa,NA
CSM,9,9,1,adult,9.1,California Sea Lavender,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.66667,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Plumbaginaceae,Limonium,californicum,NA
CSM,10,10,1,adult,10.1,macroalgae,macroalgae,taxon,assemblage,"mostly the chlorophytes, Enteromorpha and Ulva",autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.49524,NA,NA,"approximation, quantified ratio",abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSM,11,11,1,adult,11.1,Shore Grass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Poaceae,Monanthocloe,littoralis,NA
