interaction,flux,system
herb_bsqsim,27921000.9667336,BSQ
herb_bsqsim,24707637.183087487,BSQ
herb_bsqsim,168391844.32567325,BSQ
herb_bsqsim,2914894.181586849,BSQ
herb_bsqsim,24571662.387354705,BSQ
herb_bsqsim,16372983.13635743,BSQ
herb_bsqsim,5089790.1958933715,BSQ
herb_bsqsim,96073935.11548033,BSQ
herb_bsqsim,9627529.839338072,BSQ
herb_bsqsim,63281491.8198019,BSQ
herb_bsqsim,78876889.7045929,BSQ
herb_bsqsim,10772732.858619059,BSQ
herb_bsqsim,25031624.52517292,BSQ
herb_bsqsim,4812640.687654759,BSQ
herb_bsqsim,22420505.943228852,BSQ
herb_bsqsim,17359575.044920865,BSQ
herb_bsqsim,96881564.64612399,BSQ
herb_bsqsim,20581253.436788436,BSQ
herb_bsqsim,17909263.779272474,BSQ
herb_bsqsim,110096474.723079,BSQ
herb_bsqsim,7663683.195437081,BSQ
herb_bsqsim,109433311.51510099,BSQ
herb_bsqsim,29967331.772180784,BSQ
herb_bsqsim,3053148.6001404496,BSQ
herb_bsqsim,3107928.9442355996,BSQ
herb_bsqsim,29326163.13442829,BSQ
herb_bsqsim,13110563.872636419,BSQ
herb_bsqsim,24246154.478201177,BSQ
herb_bsqsim,7408820.68729391,BSQ
herb_bsqsim,3956049.050295584,BSQ
herb_bsqsim,6919888.433693048,BSQ
herb_bsqsim,28031479.661577962,BSQ
herb_bsqsim,34034298.00188087,BSQ
herb_bsqsim,52124833.865263395,BSQ
herb_bsqsim,29407723.072321378,BSQ
herb_bsqsim,39967453.797503464,BSQ
herb_bsqsim,34952844.13078494,BSQ
herb_bsqsim,6739206.670104789,BSQ
herb_bsqsim,245177357.60419765,BSQ
herb_bsqsim,21815291.463563886,BSQ
herb_bsqsim,27305809.753215656,BSQ
herb_bsqsim,20063853.929919727,BSQ
herb_bsqsim,40063402.86292542,BSQ
herb_bsqsim,49968651.43841759,BSQ
herb_bsqsim,54308494.0073549,BSQ
herb_bsqsim,44825886.57370844,BSQ
herb_bsqsim,8273595.253639814,BSQ
herb_bsqsim,51897495.90968463,BSQ
herb_bsqsim,25005691.484970104,BSQ
herb_bsqsim,3388448.476919872,BSQ
herb_bsqsim,17333131.798025113,BSQ
herb_bsqsim,63964620.73949746,BSQ
herb_bsqsim,4176726.5867258543,BSQ
herb_bsqsim,41082806.56127645,BSQ
herb_bsqsim,16410978.959974311,BSQ
herb_bsqsim,30736219.221515022,BSQ
herb_bsqsim,68584631.26240538,BSQ
herb_bsqsim,33461566.1869814,BSQ
herb_bsqsim,13526679.74267474,BSQ
herb_bsqsim,5219804.842076189,BSQ
herb_bsqsim,3126712.2326797377,BSQ
herb_bsqsim,1593356.096229038,BSQ
herb_bsqsim,60423587.46664005,BSQ
herb_bsqsim,187950382.57407716,BSQ
herb_bsqsim,3053496.0957720145,BSQ
herb_bsqsim,4256239.864525477,BSQ
herb_bsqsim,4773654.072334017,BSQ
herb_bsqsim,51392098.043612525,BSQ
herb_bsqsim,27140798.235578947,BSQ
herb_bsqsim,50639988.456692114,BSQ
herb_bsqsim,12630943.86963221,BSQ
herb_bsqsim,62814939.67633368,BSQ
herb_bsqsim,664036622.8975973,BSQ
herb_bsqsim,11759390.256932171,BSQ
herb_bsqsim,36558422.01130113,BSQ
herb_bsqsim,79777825.84358127,BSQ
herb_bsqsim,57418273.15602229,BSQ
herb_bsqsim,55298369.200898826,BSQ
herb_bsqsim,26631192.331881683,BSQ
herb_bsqsim,17608387.15984731,BSQ
herb_bsqsim,16827126.700430404,BSQ
herb_bsqsim,85143546.50187495,BSQ
herb_bsqsim,17950401.890436314,BSQ
herb_bsqsim,27211250.01266628,BSQ
herb_bsqsim,52232474.60534645,BSQ
herb_bsqsim,62624136.45324737,BSQ
herb_bsqsim,1426988.0568503893,BSQ
herb_bsqsim,75162219.5279924,BSQ
herb_bsqsim,52678545.09031575,BSQ
herb_bsqsim,57104799.34487711,BSQ
herb_bsqsim,28355220.132110022,BSQ
herb_bsqsim,94254160.35363953,BSQ
herb_bsqsim,5835034.882463877,BSQ
herb_bsqsim,6495535.77960682,BSQ
herb_bsqsim,27100335.801227987,BSQ
herb_bsqsim,41566777.7655402,BSQ
herb_bsqsim,37525406.253903456,BSQ
herb_bsqsim,97987165.6412166,BSQ
herb_bsqsim,46061839.9492387,BSQ
herb_bsqsim,2099021.2289200923,BSQ
herb_bsqsim,50164649.90622199,BSQ
herb_bsqsim,15460192.80847119,BSQ
herb_bsqsim,34401140.39174121,BSQ
herb_bsqsim,45075219.91886915,BSQ
herb_bsqsim,15396487.813620297,BSQ
herb_bsqsim,21060683.778011784,BSQ
herb_bsqsim,36617805.06059922,BSQ
herb_bsqsim,21130808.067096118,BSQ
herb_bsqsim,14423308.67391181,BSQ
herb_bsqsim,7019566.925592207,BSQ
herb_bsqsim,21679308.566169746,BSQ
herb_bsqsim,68403570.09982143,BSQ
herb_bsqsim,43139924.55626148,BSQ
herb_bsqsim,48035220.181095794,BSQ
herb_bsqsim,84825440.51389338,BSQ
herb_bsqsim,88103944.80526021,BSQ
herb_bsqsim,19786959.503773928,BSQ
herb_bsqsim,16273096.535806319,BSQ
herb_bsqsim,28581836.66509613,BSQ
herb_bsqsim,49023039.54715348,BSQ
herb_bsqsim,6342392.082529236,BSQ
herb_bsqsim,43811987.48527563,BSQ
herb_bsqsim,3225433.2805900727,BSQ
herb_bsqsim,18013368.914913207,BSQ
herb_bsqsim,266853138.81130415,BSQ
herb_bsqsim,17358880.7275413,BSQ
herb_bsqsim,3558544.890182183,BSQ
herb_bsqsim,46896373.01806254,BSQ
herb_bsqsim,35714678.975407116,BSQ
herb_bsqsim,12459009.465889046,BSQ
carn_bsqsim,215661.98520337607,BSQ
carn_bsqsim,158303.8246694055,BSQ
carn_bsqsim,147444.23311624507,BSQ
carn_bsqsim,165406.08535729907,BSQ
carn_bsqsim,158536.98145301893,BSQ
carn_bsqsim,73734.4713508265,BSQ
carn_bsqsim,240726.74595697914,BSQ
carn_bsqsim,89554.68801814575,BSQ
carn_bsqsim,126513.13198509232,BSQ
carn_bsqsim,170869.90589930656,BSQ
carn_bsqsim,34503.17352002105,BSQ
carn_bsqsim,163423.0826887778,BSQ
carn_bsqsim,101778.14141338701,BSQ
carn_bsqsim,627051.7435250988,BSQ
carn_bsqsim,141507.8991663885,BSQ
carn_bsqsim,213731.04464174106,BSQ
carn_bsqsim,155349.84634460116,BSQ
carn_bsqsim,47582.510780004755,BSQ
carn_bsqsim,307782.1879126921,BSQ
carn_bsqsim,229116.46834803396,BSQ
carn_bsqsim,183965.89717442793,BSQ
carn_bsqsim,203223.48063966495,BSQ
carn_bsqsim,464381.70662826137,BSQ
carn_bsqsim,294195.5758924,BSQ
carn_bsqsim,197073.00889241998,BSQ
carn_bsqsim,94238.88268272554,BSQ
carn_bsqsim,76846.77071760154,BSQ
carn_bsqsim,116882.53379669848,BSQ
carn_bsqsim,197408.36324905645,BSQ
carn_bsqsim,198716.12486656845,BSQ
carn_bsqsim,78956.75119891657,BSQ
carn_bsqsim,175700.6094902489,BSQ
carn_bsqsim,155601.86734213863,BSQ
carn_bsqsim,70013.74391654438,BSQ
carn_bsqsim,143799.5196348341,BSQ
carn_bsqsim,88027.93266726282,BSQ
carn_bsqsim,56782.987599133405,BSQ
carn_bsqsim,158698.72918928662,BSQ
carn_bsqsim,320421.8864439552,BSQ
carn_bsqsim,100999.82521283453,BSQ
carn_bsqsim,137151.32365019646,BSQ
carn_bsqsim,113669.08606183997,BSQ
carn_bsqsim,155480.99888275872,BSQ
carn_bsqsim,150769.6314029322,BSQ
carn_bsqsim,105767.33718400463,BSQ
carn_bsqsim,182030.23884259665,BSQ
carn_bsqsim,267333.8422082943,BSQ
carn_bsqsim,128660.8241475136,BSQ
carn_bsqsim,147630.1090753466,BSQ
carn_bsqsim,122399.0336800677,BSQ
carn_bsqsim,58401.002643424836,BSQ
carn_bsqsim,19248.644962060574,BSQ
carn_bsqsim,83611.33170730935,BSQ
carn_bsqsim,59731.37909727032,BSQ
carn_bsqsim,76779.58363281903,BSQ
carn_bsqsim,223767.93083826272,BSQ
carn_bsqsim,130351.07353205609,BSQ
carn_bsqsim,74061.20090733428,BSQ
carn_bsqsim,100657.86657226934,BSQ
carn_bsqsim,257832.08827407096,BSQ
carn_bsqsim,220654.6063419717,BSQ
carn_bsqsim,223193.270862612,BSQ
carn_bsqsim,220837.96766769647,BSQ
carn_bsqsim,136912.4062283006,BSQ
carn_bsqsim,347616.13053462683,BSQ
carn_bsqsim,94309.58407718949,BSQ
carn_bsqsim,52827.21729496954,BSQ
carn_bsqsim,99999.22890309131,BSQ
carn_bsqsim,161991.76109504502,BSQ
carn_bsqsim,166870.1326049952,BSQ
carn_bsqsim,265841.7058800888,BSQ
carn_bsqsim,91384.32965195824,BSQ
carn_bsqsim,100035.72672722989,BSQ
carn_bsqsim,181484.02171136363,BSQ
carn_bsqsim,186082.3335489754,BSQ
carn_bsqsim,268384.6079058846,BSQ
carn_bsqsim,253809.01546914966,BSQ
carn_bsqsim,150750.32369768448,BSQ
carn_bsqsim,23948.019157649505,BSQ
carn_bsqsim,122092.56800901443,BSQ
carn_bsqsim,105592.76635554932,BSQ
carn_bsqsim,376488.4238996054,BSQ
carn_bsqsim,159966.87218889754,BSQ
carn_bsqsim,150901.13523941746,BSQ
carn_bsqsim,243049.96334546997,BSQ
carn_bsqsim,282368.5734291371,BSQ
carn_bsqsim,144770.36611116971,BSQ
carn_bsqsim,114124.44340068576,BSQ
carn_bsqsim,76998.55119777223,BSQ
carn_bsqsim,197661.37614819873,BSQ
carn_bsqsim,70781.76664757618,BSQ
carn_bsqsim,143640.4242616117,BSQ
carn_bsqsim,106693.24504262992,BSQ
carn_bsqsim,80725.51296067344,BSQ
carn_bsqsim,133679.87155287794,BSQ
carn_bsqsim,220432.19516798318,BSQ
carn_bsqsim,93257.25553411526,BSQ
carn_bsqsim,138370.21946319265,BSQ
carn_bsqsim,391410.7895580084,BSQ
carn_bsqsim,64079.303519151406,BSQ
carn_bsqsim,184688.51417039335,BSQ
carn_bsqsim,151180.75661218082,BSQ
carn_bsqsim,77232.1388063338,BSQ
carn_bsqsim,119304.33232509079,BSQ
carn_bsqsim,2502184.45934458,BSQ
carn_bsqsim,305390.54096427764,BSQ
carn_bsqsim,57456.910616590765,BSQ
carn_bsqsim,115010.84089398396,BSQ
carn_bsqsim,183319.7096346867,BSQ
carn_bsqsim,54059.62103361536,BSQ
carn_bsqsim,146596.0668430228,BSQ
carn_bsqsim,107201.80165180631,BSQ
carn_bsqsim,49159.79336744357,BSQ
carn_bsqsim,274019.2656302595,BSQ
carn_bsqsim,36765.183546239816,BSQ
carn_bsqsim,128798.34742403324,BSQ
carn_bsqsim,102453.34468517327,BSQ
carn_bsqsim,189659.14423213786,BSQ
carn_bsqsim,64110.71774409272,BSQ
carn_bsqsim,79696.38679584806,BSQ
carn_bsqsim,428852.790401341,BSQ
carn_bsqsim,440381.477086914,BSQ
carn_bsqsim,388110.0324153282,BSQ
carn_bsqsim,167931.57027009255,BSQ
carn_bsqsim,60213.64507301765,BSQ
carn_bsqsim,42845.18016910573,BSQ
carn_bsqsim,114106.39651206085,BSQ
carn_bsqsim,54837.35448258043,BSQ
carn_bsqsim,237902.2484668166,BSQ
carn_bsqsim,95276.04835901824,BSQ
detr_bsqsim,260392.13418014988,BSQ
detr_bsqsim,230515.62210659037,BSQ
detr_bsqsim,24571048.762771238,BSQ
detr_bsqsim,734653.2567240958,BSQ
detr_bsqsim,17286.129484252593,BSQ
detr_bsqsim,10184871.859878631,BSQ
detr_bsqsim,113015.84180134066,BSQ
detr_bsqsim,40803482.9046325,BSQ
detr_bsqsim,7166235.754004577,BSQ
detr_bsqsim,344131.9661661502,BSQ
