interaction,flux,system
herb_bsq,213302.43490476997,BSQ
herb_bsq,213345.3096003412,BSQ
herb_bsq,233227.87095107883,BSQ
herb_bsq,211021.99972033506,BSQ
herb_bsq,209383.47402064328,BSQ
herb_bsq,215309.41637044464,BSQ
herb_bsq,214148.34303954992,BSQ
herb_bsq,213638.80478311348,BSQ
herb_bsq,209100.669740596,BSQ
herb_bsq,205799.79593756748,BSQ
herb_bsq,372650.34985115286,BSQ
herb_bsq,214929.74416578354,BSQ
herb_bsq,203327.13511704252,BSQ
herb_bsq,249775.79499509634,BSQ
herb_bsq,208482.33404389044,BSQ
herb_bsq,210486.11849736655,BSQ
herb_bsq,210653.83150838641,BSQ
herb_bsq,218557.9609752728,BSQ
herb_bsq,211865.62205410248,BSQ
herb_bsq,215332.61468333864,BSQ
herb_bsq,203431.32462226498,BSQ
herb_bsq,299523.4269575749,BSQ
herb_bsq,210092.33570568095,BSQ
herb_bsq,226850.25857702762,BSQ
herb_bsq,214264.97933069256,BSQ
herb_bsq,209458.08168412434,BSQ
herb_bsq,213766.99601323844,BSQ
herb_bsq,213246.28564606205,BSQ
herb_bsq,220938.4665183967,BSQ
herb_bsq,218052.40255977074,BSQ
herb_bsq,214035.89407741316,BSQ
herb_bsq,218113.9431123095,BSQ
herb_bsq,213279.5961032,BSQ
herb_bsq,5656214.31994006,BSQ
herb_bsq,204188.00665730058,BSQ
herb_bsq,204813.86283807168,BSQ
herb_bsq,317553437.7621642,BSQ
herb_bsq,211166.68117909518,BSQ
herb_bsq,216513.88701348874,BSQ
herb_bsq,203109.71480248403,BSQ
herb_bsq,211437.84471424634,BSQ
herb_bsq,215816.11818609314,BSQ
herb_bsq,202716.17926554335,BSQ
herb_bsq,218185.7298928791,BSQ
herb_bsq,207881.83369555708,BSQ
herb_bsq,1328567.831585758,BSQ
herb_bsq,206724.44699313142,BSQ
herb_bsq,252081.2141684464,BSQ
herb_bsq,208449.76220981943,BSQ
herb_bsq,205428.54278404076,BSQ
herb_bsq,208021.79320266427,BSQ
herb_bsq,211243.67366393493,BSQ
herb_bsq,212963.98495075005,BSQ
herb_bsq,212914.6006136384,BSQ
herb_bsq,212281.01432564796,BSQ
