interaction,flux,system
herb_csmsim,15847658.708913703,CSM
herb_csmsim,3424635.5190614695,CSM
herb_csmsim,18184513.57826147,CSM
herb_csmsim,1114389.2906772902,CSM
herb_csmsim,6869191.743219838,CSM
herb_csmsim,9579730.376980506,CSM
herb_csmsim,4372493.033295343,CSM
herb_csmsim,8123617.563481312,CSM
herb_csmsim,3801052.829449554,CSM
herb_csmsim,6036229.736289838,CSM
herb_csmsim,3151597.9775394048,CSM
herb_csmsim,6626481.750997151,CSM
herb_csmsim,4193007.1849607043,CSM
herb_csmsim,5709575.1785289515,CSM
herb_csmsim,9657234.450070117,CSM
herb_csmsim,5849431.713668715,CSM
herb_csmsim,16062135.53462318,CSM
herb_csmsim,657339.764477645,CSM
herb_csmsim,4962379.640778221,CSM
herb_csmsim,36602079.56658992,CSM
herb_csmsim,5520109.497710469,CSM
herb_csmsim,17544395.555196777,CSM
herb_csmsim,2000418.8398604663,CSM
herb_csmsim,4864012.922592623,CSM
herb_csmsim,4937737.929756769,CSM
herb_csmsim,6882021.493679203,CSM
herb_csmsim,17054607.510097075,CSM
herb_csmsim,1670867.6093064435,CSM
herb_csmsim,6403645.127679139,CSM
herb_csmsim,4125746.9850177816,CSM
herb_csmsim,39475606.70684833,CSM
herb_csmsim,5666801.5806890065,CSM
herb_csmsim,7320084.4973676065,CSM
herb_csmsim,5757934.462017785,CSM
herb_csmsim,33604805.88604042,CSM
herb_csmsim,4790273.307799503,CSM
herb_csmsim,1633831.156654141,CSM
herb_csmsim,7998014.6623009415,CSM
herb_csmsim,15621730.741126742,CSM
herb_csmsim,220288.17090210033,CSM
herb_csmsim,6123269.570152724,CSM
herb_csmsim,5879842.978323529,CSM
herb_csmsim,15632730.795331292,CSM
herb_csmsim,1448714.7759192288,CSM
herb_csmsim,559648.7500055938,CSM
herb_csmsim,4142934.307211964,CSM
herb_csmsim,4639449.925332926,CSM
herb_csmsim,4591223.067683232,CSM
herb_csmsim,4374126.659726747,CSM
herb_csmsim,355605.9627283891,CSM
herb_csmsim,5212307.167287392,CSM
herb_csmsim,1829994.6273390837,CSM
herb_csmsim,1012788.9653392946,CSM
herb_csmsim,4804052.703282292,CSM
herb_csmsim,4156427.8464992535,CSM
herb_csmsim,2111752.6326759676,CSM
herb_csmsim,14482691.98874354,CSM
herb_csmsim,1073045.7858680934,CSM
herb_csmsim,12881156.01437459,CSM
herb_csmsim,5955659.947506285,CSM
herb_csmsim,595650.9888100633,CSM
herb_csmsim,4627381.516165358,CSM
herb_csmsim,1921207.1984485558,CSM
herb_csmsim,2355220.979634977,CSM
herb_csmsim,6797838.703293725,CSM
herb_csmsim,2647126.5057874364,CSM
herb_csmsim,11938416.11498244,CSM
herb_csmsim,27320991.67098714,CSM
herb_csmsim,12526157.227189131,CSM
herb_csmsim,4792836.942111228,CSM
herb_csmsim,23427494.565453865,CSM
herb_csmsim,854919.8217420877,CSM
herb_csmsim,1491148.6422964914,CSM
herb_csmsim,5002042.388510551,CSM
herb_csmsim,1906288.2236498613,CSM
herb_csmsim,9540473.659128942,CSM
herb_csmsim,1342061.701297505,CSM
herb_csmsim,11925739.926672796,CSM
herb_csmsim,21320641.298257194,CSM
herb_csmsim,1402918.536424936,CSM
herb_csmsim,10685775.177676411,CSM
herb_csmsim,455260.5691878683,CSM
herb_csmsim,8701402.781543083,CSM
herb_csmsim,4715221.252903578,CSM
herb_csmsim,1717851.5689241257,CSM
herb_csmsim,949887.340865965,CSM
