interaction,flux,system
herb_csm,369907.86508289195,CSM
herb_csm,317343.8156017572,CSM
herb_csm,312449.5407442634,CSM
herb_csm,250008.49327230436,CSM
herb_csm,415109.94093572773,CSM
herb_csm,954563.6401279474,CSM
herb_csm,323956.20975265285,CSM
herb_csm,902575.1573622032,CSM
herb_csm,441737.5946521463,CSM
herb_csm,1131154.5681532642,CSM
herb_csm,288895.000646528,CSM
herb_csm,313013.2531949894,CSM
herb_csm,585180.4380363029,CSM
herb_csm,939150.5357661761,CSM
herb_csm,267842.2462983951,CSM
herb_csm,396458.0284310948,CSM
herb_csm,358101.78086796234,CSM
herb_csm,317524.04177376133,CSM
herb_csm,269059.7713945949,CSM
herb_csm,353006.2685168905,CSM
herb_csm,260457.83938289474,CSM
herb_csm,749315.4779581418,CSM
herb_csm,335938.23407079634,CSM
herb_csm,321190.77804013464,CSM
herb_csm,360671.19341898593,CSM
herb_csm,380165.1920292455,CSM
herb_csm,202641.51297619488,CSM
herb_csm,546708.9461529087,CSM
herb_csm,310373.4910636118,CSM
herb_csm,331512.804182702,CSM
herb_csm,381663.48043150466,CSM
herb_csm,525280.8129058656,CSM
herb_csm,551049.5470544235,CSM
herb_csm,412110.1202108524,CSM
herb_csm,6764443.413983463,CSM
herb_csm,1167874.6679524942,CSM
herb_csm,239017.1386508743,CSM
herb_csm,393443.8776909002,CSM
herb_csm,349097.09190194285,CSM
herb_csm,409193.8141185183,CSM
herb_csm,161382.1089332145,CSM
herb_csm,395462.12750276655,CSM
herb_csm,32965409.401408084,CSM
herb_csm,805465.5691379387,CSM
herb_csm,3783716.3371719327,CSM
herb_csm,297274.30729385564,CSM
herb_csm,17381180.616197564,CSM
herb_csm,311115.7465207126,CSM
herb_csm,354300.6834450698,CSM
herb_csm,384435.48319924116,CSM
herb_csm,408351.4403441804,CSM
herb_csm,244863.51519839038,CSM
herb_csm,1104631.79217972,CSM
herb_csm,337053.6522877818,CSM
herb_csm,338709.13079430646,CSM
