interaction,flux,system
herb_epbsim,381133.9021707629,EPB
herb_epbsim,2751013.576260755,EPB
herb_epbsim,3746368.4393333774,EPB
herb_epbsim,4681868.0211961595,EPB
herb_epbsim,7473706.774292709,EPB
herb_epbsim,1705897.327535944,EPB
herb_epbsim,2381522.6438173065,EPB
herb_epbsim,600675.1691505864,EPB
herb_epbsim,1196125.343603454,EPB
herb_epbsim,2619476.311178311,EPB
herb_epbsim,5376820.037937071,EPB
herb_epbsim,2573918.9865346528,EPB
herb_epbsim,9251065.3765514,EPB
herb_epbsim,8449917.479887512,EPB
herb_epbsim,15517583.531186279,EPB
herb_epbsim,3930791.7554068295,EPB
herb_epbsim,1395460.687711703,EPB
herb_epbsim,1144499.2183690427,EPB
herb_epbsim,2572942.408193341,EPB
herb_epbsim,1658753.8576393758,EPB
herb_epbsim,1219832.4406349382,EPB
herb_epbsim,2433815.197379775,EPB
herb_epbsim,574281.1460389765,EPB
herb_epbsim,3022589.024486122,EPB
herb_epbsim,3825875.028805466,EPB
herb_epbsim,976681.0010899331,EPB
herb_epbsim,3085669.194838954,EPB
herb_epbsim,1187207.7865227435,EPB
herb_epbsim,416175.1679731683,EPB
herb_epbsim,2097973.6717664795,EPB
herb_epbsim,939134.585524268,EPB
herb_epbsim,3177261.124745535,EPB
herb_epbsim,4813771.284258504,EPB
herb_epbsim,8493655.377722597,EPB
herb_epbsim,1672295.720541596,EPB
herb_epbsim,24410418.678535055,EPB
herb_epbsim,11562970.003271379,EPB
herb_epbsim,2594342.9347640593,EPB
herb_epbsim,1685099.172540723,EPB
herb_epbsim,648551.9282530972,EPB
herb_epbsim,3780599.4336019857,EPB
herb_epbsim,878213.9414156968,EPB
herb_epbsim,303479.9317609632,EPB
herb_epbsim,962340.9497759104,EPB
herb_epbsim,3347600.004330444,EPB
herb_epbsim,322022.60954024317,EPB
herb_epbsim,7459939.462739788,EPB
herb_epbsim,2116968.817839444,EPB
herb_epbsim,6565821.04265119,EPB
herb_epbsim,837609.6642731964,EPB
herb_epbsim,1729440.3072814292,EPB
herb_epbsim,4866986.521527961,EPB
herb_epbsim,2003774.8018110148,EPB
herb_epbsim,9600710.498326503,EPB
herb_epbsim,1667140.1679989933,EPB
herb_epbsim,3647199.688190857,EPB
herb_epbsim,113140.27583774639,EPB
herb_epbsim,1260349.9105058701,EPB
herb_epbsim,4995554.647812872,EPB
herb_epbsim,1949745.8897569836,EPB
herb_epbsim,4184561.7714995835,EPB
herb_epbsim,5120627.313985466,EPB
herb_epbsim,5546584.539945593,EPB
herb_epbsim,1035299.6885127648,EPB
herb_epbsim,4250936.810285721,EPB
herb_epbsim,3085430.553137594,EPB
herb_epbsim,2925424.417971913,EPB
herb_epbsim,25411275.148399238,EPB
herb_epbsim,980781.5665847734,EPB
herb_epbsim,3267457.7851509023,EPB
herb_epbsim,3660703.8710193825,EPB
herb_epbsim,6323622.642435018,EPB
herb_epbsim,2404595.991266958,EPB
herb_epbsim,60104.75699243646,EPB
herb_epbsim,1724251.4845912927,EPB
herb_epbsim,4525831.818233834,EPB
herb_epbsim,2030504.737526214,EPB
herb_epbsim,1393464.3719346558,EPB
herb_epbsim,18632063.658299148,EPB
herb_epbsim,5837402.960129634,EPB
herb_epbsim,1661660.6671737637,EPB
herb_epbsim,1439179.6765738192,EPB
herb_epbsim,5075917.408441257,EPB
herb_epbsim,809136.1393007337,EPB
herb_epbsim,5375634.771811955,EPB
herb_epbsim,5094540.210392234,EPB
herb_epbsim,2221176.8845744785,EPB
herb_epbsim,2405077.07723567,EPB
herb_epbsim,4187296.2225387394,EPB
herb_epbsim,11086507.822606435,EPB
herb_epbsim,3049746.8455769685,EPB
herb_epbsim,10264812.193921298,EPB
herb_epbsim,2937338.673297444,EPB
herb_epbsim,4557673.906296197,EPB
herb_epbsim,992384.8080534046,EPB
herb_epbsim,6113145.49861732,EPB
herb_epbsim,2094217.5800370383,EPB
herb_epbsim,1073793.3812630866,EPB
herb_epbsim,2170595.894091776,EPB
herb_epbsim,335469.1836493624,EPB
herb_epbsim,3522391.9172452213,EPB
carn_epbsim,104286.93446047266,EPB
carn_epbsim,77389.64652938154,EPB
carn_epbsim,2322127.1496470463,EPB
carn_epbsim,17087.46902355421,EPB
carn_epbsim,1640608.8913745226,EPB
carn_epbsim,42506.71087677172,EPB
carn_epbsim,79195.17293305046,EPB
carn_epbsim,57727.657763737894,EPB
carn_epbsim,35098.410214417665,EPB
carn_epbsim,264724.8349556703,EPB
carn_epbsim,37802.22664611075,EPB
carn_epbsim,59565.26799662043,EPB
carn_epbsim,937423.8363207149,EPB
carn_epbsim,2080061.212538736,EPB
carn_epbsim,21689.889443164397,EPB
carn_epbsim,26029.638837696486,EPB
carn_epbsim,197015.64823901022,EPB
carn_epbsim,194996.71249462114,EPB
carn_epbsim,92970.52815958454,EPB
carn_epbsim,90660.43118135931,EPB
carn_epbsim,63117.38697134543,EPB
carn_epbsim,40973.7877546284,EPB
carn_epbsim,74397.73069338095,EPB
carn_epbsim,24080.666819271195,EPB
carn_epbsim,38849.65439439832,EPB
carn_epbsim,20246.88301027319,EPB
carn_epbsim,855429.8432604328,EPB
carn_epbsim,84994.35069449822,EPB
carn_epbsim,40890.64139261829,EPB
carn_epbsim,366355.89609771734,EPB
carn_epbsim,53086.371322526684,EPB
carn_epbsim,493550.51560286165,EPB
carn_epbsim,59156.74955227277,EPB
carn_epbsim,1413140.589366217,EPB
carn_epbsim,15879.738296919699,EPB
carn_epbsim,1567555.6840190468,EPB
carn_epbsim,2424042.1120545864,EPB
carn_epbsim,27999.12392269109,EPB
carn_epbsim,55004.14548776131,EPB
carn_epbsim,20529.413962641323,EPB
carn_epbsim,1188623.4448007583,EPB
carn_epbsim,186506.58812812506,EPB
carn_epbsim,31535.1819407812,EPB
carn_epbsim,25302.95860905141,EPB
carn_epbsim,330611.79625236976,EPB
carn_epbsim,370100.8506863546,EPB
carn_epbsim,57569.50124676087,EPB
carn_epbsim,26695.892971053232,EPB
carn_epbsim,2166199.4935580743,EPB
carn_epbsim,28824.315385840862,EPB
carn_epbsim,642537.0656113535,EPB
carn_epbsim,12083.584255825785,EPB
carn_epbsim,81723.76608447835,EPB
carn_epbsim,92799.71326562278,EPB
carn_epbsim,24080.09674974479,EPB
carn_epbsim,36160.79456907176,EPB
carn_epbsim,38224.33798656633,EPB
carn_epbsim,22442.229174785607,EPB
carn_epbsim,34283.5966640311,EPB
carn_epbsim,250249.62145458543,EPB
carn_epbsim,43447.136455247535,EPB
carn_epbsim,23940.166837344972,EPB
carn_epbsim,23438.18706005679,EPB
carn_epbsim,14755.257959654515,EPB
carn_epbsim,470790.66428473993,EPB
carn_epbsim,21437.66756143277,EPB
carn_epbsim,9843.196037408761,EPB
carn_epbsim,3798046.5569945835,EPB
carn_epbsim,196203.81056014483,EPB
carn_epbsim,25638.23991245176,EPB
carn_epbsim,607400.9747881222,EPB
carn_epbsim,154999.61711724903,EPB
carn_epbsim,32930.822584052534,EPB
carn_epbsim,27184.567872272182,EPB
carn_epbsim,729938.4555449518,EPB
carn_epbsim,42512.35662369361,EPB
carn_epbsim,16060.485398089557,EPB
carn_epbsim,18685.487280518508,EPB
carn_epbsim,1002237.0579241313,EPB
carn_epbsim,3560789.8835835247,EPB
carn_epbsim,21673.602041943483,EPB
carn_epbsim,39279.83819711637,EPB
carn_epbsim,454310.6880738758,EPB
carn_epbsim,11911.502285319308,EPB
carn_epbsim,815483.7468332886,EPB
carn_epbsim,9097.390278859439,EPB
carn_epbsim,20129.76309914633,EPB
carn_epbsim,23777.139279999385,EPB
carn_epbsim,215237.1832819935,EPB
carn_epbsim,35291.809925355825,EPB
carn_epbsim,181980.6431341632,EPB
carn_epbsim,214146.47033428092,EPB
carn_epbsim,23047.489858525685,EPB
carn_epbsim,429634.022910731,EPB
carn_epbsim,9180.31979946461,EPB
carn_epbsim,3277054.929513744,EPB
carn_epbsim,29930.373292813885,EPB
carn_epbsim,1034674.8603772939,EPB
carn_epbsim,1777938.1423469495,EPB
carn_epbsim,209212.4013802416,EPB
carn_epbsim,2134406.1432774025,EPB
detr_epbsim,176574.19049379643,EPB
detr_epbsim,591454.1586830484,EPB
detr_epbsim,757931.6977465453,EPB
detr_epbsim,3001928.730456631,EPB
detr_epbsim,1247210.939884664,EPB
detr_epbsim,481845.51177103573,EPB
detr_epbsim,1025809.2334450196,EPB
detr_epbsim,412109.3108443154,EPB
detr_epbsim,662613.4527703852,EPB
detr_epbsim,342649.57733050967,EPB
detr_epbsim,1160774.6099852978,EPB
detr_epbsim,590350.104081948,EPB
detr_epbsim,12784881.74823107,EPB
detr_epbsim,857183.7102250917,EPB
detr_epbsim,3480532.7790599177,EPB
detr_epbsim,23085.606066456552,EPB
detr_epbsim,1226737.1899218713,EPB
detr_epbsim,226727.58769442153,EPB
detr_epbsim,2436471.1166171976,EPB
detr_epbsim,114949.61321576823,EPB
detr_epbsim,402557.5941239074,EPB
detr_epbsim,156675.62550126616,EPB
detr_epbsim,359120.108807775,EPB
detr_epbsim,476027.5325389149,EPB
detr_epbsim,332631.67035563994,EPB
detr_epbsim,407317.7212441917,EPB
detr_epbsim,2068788.6557458881,EPB
detr_epbsim,1921542.9405957693,EPB
detr_epbsim,37017.64003432023,EPB
detr_epbsim,45940.57676825716,EPB
detr_epbsim,1166134.370451376,EPB
detr_epbsim,948314.9332345895,EPB
detr_epbsim,777983.0639133961,EPB
detr_epbsim,712543.43414897,EPB
detr_epbsim,808261.2590277052,EPB
detr_epbsim,1137034.4037495777,EPB
detr_epbsim,284280.94747090735,EPB
detr_epbsim,94806.91234890057,EPB
detr_epbsim,158320.5100879543,EPB
detr_epbsim,1365716.4323210928,EPB
detr_epbsim,1493618.947173003,EPB
detr_epbsim,333445.36385843484,EPB
detr_epbsim,651679.5923069855,EPB
detr_epbsim,310949.17640408175,EPB
detr_epbsim,2019947.885527867,EPB
detr_epbsim,1032755.0756213918,EPB
detr_epbsim,4826893.761917923,EPB
detr_epbsim,1116759.373132868,EPB
detr_epbsim,1171675.667750067,EPB
detr_epbsim,340065.30131720117,EPB
detr_epbsim,240577.9491825531,EPB
