interaction,flux,system
herb_epb,782781.628184947,EPB
herb_epb,517442.5310421345,EPB
herb_epb,503898.349536627,EPB
herb_epb,542188.6837642124,EPB
herb_epb,511779.93623678247,EPB
herb_epb,557835.2961387625,EPB
herb_epb,549104.40294885,EPB
herb_epb,548184.6386500564,EPB
herb_epb,504227.54117496056,EPB
herb_epb,547181.4337715,EPB
herb_epb,504567.6879413274,EPB
herb_epb,548199.2327854544,EPB
herb_epb,547980.443047883,EPB
herb_epb,556231.3187692048,EPB
herb_epb,546727.8865735693,EPB
herb_epb,548457.4545372063,EPB
herb_epb,544034.8185207611,EPB
herb_epb,548105.7302775098,EPB
herb_epb,557452.0942091162,EPB
herb_epb,545424.6383373695,EPB
herb_epb,554637.4280568557,EPB
herb_epb,579447.0675050574,EPB
herb_epb,525353.8658239036,EPB
herb_epb,548947.8140879419,EPB
herb_epb,550944.0942987084,EPB
herb_epb,554761.7446435753,EPB
herb_epb,548539.5015905993,EPB
herb_epb,506578.2212858072,EPB
herb_epb,529563.9795115856,EPB
herb_epb,1313765.7468656374,EPB
herb_epb,566819.7849014532,EPB
herb_epb,526731.4829484863,EPB
herb_epb,528713.9990394493,EPB
herb_epb,545060.5394761921,EPB
herb_epb,566826.3996495126,EPB
herb_epb,488403.3200677607,EPB
herb_epb,648779.3365875289,EPB
herb_epb,513640.31891632144,EPB
herb_epb,498934.5689968268,EPB
herb_epb,2190816.875937095,EPB
herb_epb,1124696.8677546915,EPB
herb_epb,511831.41731280775,EPB
herb_epb,567750.1624604305,EPB
herb_epb,552273.4401530287,EPB
herb_epb,505913.05066150334,EPB
herb_epb,547413.2892280578,EPB
herb_epb,549958.6400978822,EPB
herb_epb,532126.2303198136,EPB
herb_epb,522112.12008020526,EPB
herb_epb,550479.0880828162,EPB
herb_epb,552650.0343425662,EPB
herb_epb,500873.85980666976,EPB
herb_epb,549320.4446767553,EPB
herb_epb,547416.0755760914,EPB
herb_epb,554835.6742069366,EPB
herb_epb,548367.8080835675,EPB
herb_epb,526582.8713481053,EPB
herb_epb,552414.4100345141,EPB
herb_epb,1709360.9188754237,EPB
herb_epb,507931.9551091734,EPB
herb_epb,511513.77167176595,EPB
herb_epb,499122.690027411,EPB
herb_epb,549077.3475455524,EPB
herb_epb,514271.98172221606,EPB
herb_epb,557145.9299441893,EPB
herb_epb,530552.4487034407,EPB
herb_epb,526490.9598237504,EPB
herb_epb,553389.8319929997,EPB
herb_epb,541584.6706973012,EPB
herb_epb,539311.053843376,EPB
herb_epb,499470.9100729662,EPB
herb_epb,628863.069633085,EPB
herb_epb,554278.2446072944,EPB
herb_epb,555538.5837959507,EPB
herb_epb,700115.4224433054,EPB
herb_epb,530141.5777108538,EPB
herb_epb,550070.3788145038,EPB
herb_epb,515837.23130759527,EPB
herb_epb,545452.8626456751,EPB
herb_epb,562777.1095744832,EPB
herb_epb,547760.4068818267,EPB
herb_epb,545224.4810478298,EPB
herb_epb,548328.1968037691,EPB
herb_epb,704466.120085516,EPB
herb_epb,527214.4507679777,EPB
herb_epb,511347.62792312825,EPB
herb_epb,548244.6828567054,EPB
herb_epb,550354.9344346209,EPB
herb_epb,578496.1113957536,EPB
herb_epb,504790.74237410194,EPB
herb_epb,563838.8669815448,EPB
herb_epb,557314.0297650142,EPB
herb_epb,483555.874193971,EPB
herb_epb,529950.0352131365,EPB
herb_epb,547279.7142227074,EPB
herb_epb,549401.5860343677,EPB
herb_epb,548408.0717051347,EPB
herb_epb,507256.13133225753,EPB
herb_epb,554974.37824499,EPB
herb_epb,493134.56800275506,EPB
carn_epb,209279.28421425426,EPB
carn_epb,37380.87277913603,EPB
carn_epb,35731.70276842198,EPB
carn_epb,29012.68900850053,EPB
carn_epb,27401.770137320498,EPB
carn_epb,34499.81195996511,EPB
carn_epb,27519.837601375777,EPB
carn_epb,97473.40917421941,EPB
carn_epb,28537.41024027571,EPB
carn_epb,25422.745276848567,EPB
carn_epb,30343.85868858268,EPB
carn_epb,27501.120513404094,EPB
carn_epb,26788.322471823558,EPB
carn_epb,34835.793761572146,EPB
carn_epb,25455.870276189442,EPB
carn_epb,27152.117044205745,EPB
carn_epb,38709.20640607312,EPB
carn_epb,26548.143687199507,EPB
carn_epb,37986.05995923755,EPB
carn_epb,25615.52372961175,EPB
carn_epb,128813.65979606268,EPB
carn_epb,55125.03747486306,EPB
carn_epb,25938.406042515293,EPB
carn_epb,27440.33583418712,EPB
carn_epb,29340.471740518384,EPB
carn_epb,33364.49261315216,EPB
carn_epb,27219.178073364958,EPB
carn_epb,33779.53679352192,EPB
carn_epb,24843.625509575424,EPB
carn_epb,641065.1971024008,EPB
carn_epb,138354.16992878323,EPB
carn_epb,25262.640327740643,EPB
carn_epb,26552.328950478983,EPB
carn_epb,24728.481920254584,EPB
carn_epb,36569.67594822215,EPB
carn_epb,26893.162471750788,EPB
carn_epb,396535.4232836972,EPB
carn_epb,30392.87874469051,EPB
carn_epb,30965.242539601986,EPB
carn_epb,1289885.7728300947,EPB
carn_epb,504104.120706681,EPB
carn_epb,51688.64179952408,EPB
carn_epb,42558.85899449807,EPB
carn_epb,32057.144111541547,EPB
carn_epb,30420.23675294007,EPB
carn_epb,25765.40766800875,EPB
carn_epb,31356.75145794861,EPB
carn_epb,29540.424311060055,EPB
carn_epb,24306.961817105712,EPB
carn_epb,27931.20532245323,EPB
carn_epb,29427.265704622034,EPB
carn_epb,28330.76474777041,EPB
carn_epb,27964.49499058013,EPB
carn_epb,25922.355888008107,EPB
carn_epb,32238.12401122015,EPB
carn_epb,42405.17948149498,EPB
carn_epb,36448.818820632434,EPB
carn_epb,31607.720389543134,EPB
carn_epb,889636.4717558491,EPB
carn_epb,33502.182857010026,EPB
carn_epb,41832.89206475785,EPB
carn_epb,52595.39940244065,EPB
carn_epb,28064.98055013579,EPB
carn_epb,26072.8912801854,EPB
carn_epb,34787.89196878872,EPB
carn_epb,27034.61309628,EPB
carn_epb,26927.569817648302,EPB
carn_epb,31330.66740392294,EPB
carn_epb,26538.621022865027,EPB
carn_epb,31078.093852515998,EPB
carn_epb,28315.368160108294,EPB
carn_epb,88212.2340216128,EPB
carn_epb,37431.48863035199,EPB
carn_epb,34796.900806474965,EPB
