"Parameter" "Coefficient" "SE" "CI" "CI_low" "CI_high" "t" "df_error" "p"
"1" "(Intercept)" 20.9344902758837 0.279831549627555 0.95 20.3858548435072 21.4831257082602 74.8110436573244 3780 0
"2" "systemCSM" 1.74029468952213 0.395741572663168 0.95 0.964407020256864 2.5161823587874 4.39755337760122 3780 1.12491562585701e-05
"3" "systemEPB" 0.455066312413718 0.395741572663168 0.95 -0.320821356851551 1.23095398167899 1.1499077778241 3780 0.250254602451432
"4" "interactionherb" -2.23258902202293 0.395741572663168 0.95 -3.0084766912882 -1.45670135275767 -5.64153269771125 3780 1.80901197633787e-08
"5" "interactiondetr" -1.53779898765162 0.395741572663168 0.95 -2.31368665691688 -0.761911318386348 -3.8858666712797 3780 0.00010371271919028
"6" "interactioncarn" -6.73121055171947 0.395741572663167 0.95 -7.50709822098473 -5.9553228824542 -17.0091064894228 3780 1.41596389574432e-62
"7" "interactionpara" -12.2691595797936 0.395741572663168 0.95 -13.0450472490588 -11.4932719105283 -31.0029585651755 3780 3.11016044164979e-188
"8" "simulatedReplaced Parasites" 5.93891624484448 0.348666763154755 0.95 5.25532305953952 6.62250943014944 17.0332158738299 3780 9.65942155608239e-63
"9" "systemCSM:interactionherb" 0.114569033521288 0.55966309925511 0.95 -0.982701831231706 1.21183989827428 0.204710715560442 3780 0.837809169455457
"10" "systemEPB:interactionherb" 1.21463883142616 0.55966309925511 0.95 0.117367966673162 2.31190969617915 2.17030358628752 3780 0.0300459221486848
"11" "systemCSM:interactiondetr" -1.30102317167086 0.559663099255109 0.95 -2.39829403642386 -0.203752306917871 -2.32465419535874 3780 0.0201431704636556
"12" "systemEPB:interactiondetr" -1.42195566450957 0.55966309925511 0.95 -2.51922652926256 -0.324684799756576 -2.54073507151381 3780 0.0111016315061582
"13" "systemCSM:interactioncarn" 1.19208392913521 0.55966309925511 0.95 0.0948130643822165 2.2893547938882 2.13000272971691 3780 0.0332357980398359
"14" "systemEPB:interactioncarn" 0.767856809338665 0.55966309925511 0.95 -0.329414055414328 1.86512767409166 1.37199827960902 3780 0.170145389596275
"15" "systemCSM:interactionpara" 1.43177005745529 0.55966309925511 0.95 0.334499192702302 2.52904092220829 2.55827132316018 3780 0.0105580459542966
"16" "systemEPB:interactionpara" 2.77864537584163 0.559663099255109 0.95 1.68137451108864 3.87591624059462 4.96485364059181 3780 7.17889968078758e-07
"17" "systemCSM:simulatedReplaced Parasites" -4.07195412415402 0.493332922510725 0.95 -5.03917859047124 -3.1047296578368 -8.25396793595405 3780 2.0936585947898e-16
"18" "systemEPB:simulatedReplaced Parasites" -2.45650590597216 0.526692130319304 0.95 -3.48913416047608 -1.42387765146824 -4.66402622056061 3780 3.20805183470862e-06
"19" "interactionherb:simulatedReplaced Parasites" 0.919684818295723 0.493089265202183 0.95 -0.0470619355083741 1.88643157209982 1.86514873309728 3780 0.0622379834599542
"20" "interactiondetr:simulatedReplaced Parasites" -2.32428460832144 0.493089265202182 0.95 -3.29103136212554 -1.35753785451735 -4.71371975086177 3780 2.52001444678328e-06
"21" "interactioncarn:simulatedReplaced Parasites" -2.11417069369612 0.493089265202183 0.95 -3.08091744750021 -1.14742393989202 -4.28760235295172 3780 1.85121189035947e-05
"22" "interactionpara:simulatedReplaced Parasites" -1.52750217760693 0.493089265202183 0.95 -2.49424893141102 -0.560755423802831 -3.09782079109064 3780 0.00196380270140059
"23" "systemCSM:interactionherb:simulatedReplaced Parasites" 0.381844643116962 0.697678109779822 0.95 -0.986017315007928 1.74970660124185 0.547307759501681 3780 0.584199624601855
"24" "systemEPB:interactionherb:simulatedReplaced Parasites" -0.953760424374576 0.744855153892737 0.95 -2.41411730678368 0.506596458034525 -1.28046428811033 3780 0.200460461730189
"25" "systemCSM:interactiondetr:simulatedReplaced Parasites" -0.228342873974746 0.697678109779821 0.95 -1.59620483209963 1.13951908415014 -0.32728972111051 3780 0.743466889444394
"26" "systemEPB:interactiondetr:simulatedReplaced Parasites" 0.780015173949854 0.744855153892737 0.95 -0.680341708459247 2.24037205635895 1.04720383536768 3780 0.295072531518508
"27" "systemCSM:interactioncarn:simulatedReplaced Parasites" 0.936390457834199 0.697678109779822 0.95 -0.43147150029069 2.30425241595909 1.34215255532342 3780 0.179627142497074
"28" "systemEPB:interactioncarn:simulatedReplaced Parasites" 0.114827345478218 0.744855153892737 0.95 -1.34552953693088 1.57518422788732 0.154160637646274 3780 0.877491307479693
"29" "systemCSM:interactionpara:simulatedReplaced Parasites" -1.00137552399486 0.697678109779821 0.95 -2.36923748211975 0.366486434130032 -1.43529732402078 3780 0.151285126298705
"30" "systemEPB:interactionpara:simulatedReplaced Parasites" -2.11147619423396 0.744855153892737 0.95 -3.57183307664307 -0.651119311824863 -2.83474737765999 3780 0.00461054251853368
